dema	để mà
baitran	bại trận
bangkhen	bằng khen
baoquoc	bảo quốc
ancaynuotdang	ăn cay nuốt đắng
bonthan	bổn thân
anban	ăn bẩn
actam	ác tâm
bogay	bọ gậy
amvi	âm vị
bacmau	bạc màu
banhthuan	bánh thuẫn
bachvien	bạch viên
bamvam	băm vằm
amty	âm ty
anloc	An Lộc
anhot	ăn hớt
ambathoi	âm bật hơi
banxeo	Bản Xèo
anquyet	ấn quyết
betre	bê trễ
banhducbaysang	bánh đúc bày sàng
auphuc	âu phục
baodo	bạo đồ
baisankhuynhgia	bại sản khuynh gia
baucu	bầu cử
anngon	ăn ngọn
aogoi	áo gối
aiphi	ái phi
benhtruyennhiem	bệnh truyền nhiễm
anphuthuan	An Phú Thuận
baona	bao nả
binhchuan	Bình Chuẩn
aocuoi	áo cưới
batphuong	bát phương
bacan	Bắc An
aolan	áo lặn
bongnuatoi	bóng nửa tối
batkhoanbatnhat	bắt khoan bắt nhặt
anhoilo	ăn hối lộ
bich-toong	bích-toong
batthanhvan	bất thành văn
aogammacngay	áo gấm mặc ngày
balangbaycho	ba làng bảy chợ
benno	bên nợ
binhminh	bình minh
binhchan	bình chân
antrang	An Tràng
binhyen	Bình Yên
battung	bật tung
bamuigiapcong	ba mũi giáp công
biendang	biến dạng
borau	bỏ rầu
autrivien	ấu trĩ viên
binhla	Bình La
baitap	bãi tập
beta	bêta
anhaidong	An Hải Đông
boi	bổi
bietsao	biết sao
anminhbac	An Minh Bắc
bieton	biết ơn
acmoclongtrongbung	ác mọc lông trong bụng
boquyt	bọ quýt
andeutieusong	ăn đều tiêu sòng
aibi	ai bi
bantang	bần tăng
a	a
bacte	bắc tê
bacnhannamhong	bắc nhạn nam hồng
boitron	bôi trơn
bienkhu	biên khu
baohangngay	báo hàng ngày
belimsaogay	bè lim sào gậy
ansang	ăn sáng
biennhan	biên nhận
bangtu	băng từ
boikieu	bói kiều
baicong	bãi công
anchangbodinhrang	ăn chẳng bõ dính răng
anhsangphancuc	ánh sáng phân cực
bannong	bần nông
bongo	bơ ngơ
a-dre-na-lin	a-đrê-na-lin
anquan	ấn quan
acbao	ác báo
amato	amatơ
ausau	âu sầu
a-xitlac-tic	a-xít lác-tíc
bangduoc	bằng được
anhduong	ảnh dương
bongnhien	bỗng nhiên
andonphac	An Đôn Phác
anhoc	ăn học
anuong	ăn uống
anlam	ăn làm
boiphat	bội phát
ainhi	ái nhi
biu	bíu
a-not	a-nốt
binhgia	Bình Gia
amusung	A Mú Sung
betoi	bề tôi
beonan	béo nân
bochuyendoi	bộ chuyển đổi
aovang	áo vàng
a-le	a-lê
bayhang	bày hàng
beoleo	bẻo lẻo
anbua	ăn bửa
andung	An Dũng
botre	bờ tre
boimoc	bơi móc
annoi	ăn nói
biahoi	bia hơi
bazooka	bazooka
ankhuat	ẩn khuất
banchai	bàn chải
bogao	bọ gạo
binhxa	Bình Xa
baotuong	báo tường
amaamu	ấm a ấm ứ
bactuoc	bác tước
aioan	ai oán
bothan	bó thân
baooan	báo oán
anninhdong	An Ninh Đông
angang	ăng ẳng
bolobala	bô lô ba la
ahoangmac	á hoang mạc
ahoan	a hoàn
beophe	béo phè
aiai	ải ải
bathangtrongcaymotngaytrongqua	ba tháng trông cây một ngày trông quả
banchaphanh	ban chấp hành
bamvien	băm viên
bontrodaitrau	bòn tro đãi trấu
bayhonbatvia	bay hồn bạt vía
banthanbattoai	bán thân bất toại
amdao	âm đạo
annon	ăn non
bababonchuyen	ba bà bốn chuyện
ansungmacsuong	ăn sung mặc sướng
battuy	bạt tụy
bonhingiudua	bồ nhìn giữ dưa
bogia	bố già
bangson	băng sơn
ahanhacnghiep	a hành ác nghiệp
anngaynoithang	ăn ngay nói thẳng
battuan	bát tuần
benhbinh	bệnh binh
bomnocham	bom nổ chậm
bietdongquan	biệt động quân
banhon	Bán Hon
anghe	ăn ghé
baoung	báo ứng
a	ă
baanbanoi	bạ ăn bạ nói
beonhucoixaycun	béo như cối xay cùn
banxoi	bán xới
anphong	An Phong
bongoong	Bờ Ngoong
aluoi	A Lưới
boduoc	bó đuốc
beo	beo
baixich	bài xích
bioi	bỉ ổi
baogan	bạo gan
benday	bên đây
anmattragung	ăn mật trả gừng
bache	ba chẽ
bietnhiem	biệt nhiễm
anlam	An Lâm
batquang	bắt quàng
bagian	bà giằn
angaoluoc	ăn gạo luộc
ac-quy	ắc-quy
bangchucai	bảng chữ cái
banchuidauchuimui	bận chúi đầu chúi mũi
baotu	bào tử
betrai	bề trái
am	âm
amto	âm tố
bacthay	bậc thầy
binhluanvien	bình luận viên
bietduongnao	biết dường nào
anhhungca	anh hùng ca
biettichchido	biệt tịch chi đồ
beo	bèo
biendau	biển đậu
bamgan	bấm gan
banchay	bán chạy
ansu	ân sư
ammuoi	ám muội
a-mi-noa-xit	a-mi-nô a-xít
bon-se-vich	bon-sê-vích
bangthua	bằng thừa
badinh	Ba Đình
banduong	bản dương
binhdong	Bình Đông
bohoi	bồ hôi
baolaunay	bao lâu nay
bangay	ba ngày
bot-tin	bốt-tin
botgiay	bột giấy
bathanh	Ba Thành
aomao	áo mão
bachmai	Bạch mai
annhat	ăn nhạt
aolotminh	áo lót mình
bangchuyen	băng chuyền
baoanbaonoi	bạo ăn bạo nói
baotu	báo tử
bo-lu	bờ-lu
avuong	A Vương
bochi	bõ chi
bomnguyentu	bom nguyên tử
bapchan	bắp chân
bocumedi	bố cu mẹ đĩ
bobin	bô bin
batbaodong	bất bạo động
bientocke	biến tốc kế
baoro	bào rờ
anchosuongmieng	ăn cho sướng miệng
annham	ăn nhằm
biencuong	biên cương
bou	bò u
bamrasua	bấm ra sữa
bacluong	bậc lương
beocam	bèo cám
bamcua	bam cửa
annhurongcuon	ăn như rồng cuốn
banhgai	bánh gai
beo	bẹo
benthuy	Bến Thuỷ
bontrinh	bôn trình
biendao	biên đạo
banrung	bàn rung
anboobui	ăn bờ ở bụi
bicam	bi cảm
a-raphoc	a-rập học
bedai	bề dài
biettongtongtong	biết tỏng tòng tong
bocthuoc	bốc thuốc
bakhia	ba khía
bandia	bản địa
bambao	bẩm báo
andiemtam	ăn điểm tâm
bactamcap	bậc tam cấp
aobo-lu-dong	áo bơ-lu-dông
anlaibua	ăn lại bữa
boichingansach	bội chi ngân sách
adidatamton	A Di Đà Tam Tôn
batnguon	bắt nguồn
aobao	áo bao
bi-dang-tin	bi-dăng-tin
anhkim	anh kim
banyennhan	Bần Yên Nhân
bientien	biển tiến
banhbao	bảnh bao
anofen	anofen
banchinhqui	bán chính qui
batchangduocthalamphuc	bắt chẳng được, tha làm phúc
banghahoc	băng hà học
ankhanh	ăn khảnh
binhcocong	bình cổ cong
bankhoan	băn khoăn
anhao	an hảo
bien	biến
bavuongbaytron	ba vuông bảy tròn
banhdalon	bánh da lợn
bolyhop	bộ ly hợp
bang	bang
baoholaodong	bảo hộ lao động
anmayhoanbigay	ăn mày hoàn bị gậy
aonao	áo não
bon	bon
anphuc	An Phúc
angio	ăn giỗ
bietdaumahamiengchoho	biết đâu mà há miệng chờ ho
aothogiayco	áo thô giày cỏ
binhhungtuonggioi	binh hùng tướng giỏi
bachqui	bạch quỉ
a-ti-so	a-ti-sô
a-vang	a-văng
beonheo	bèo nhèo
baocap	bao cấp
bontamdaihaitamngan	bốn tấm dài hai tấm ngắn
bam	băm
aophong	áo phông
bangia	Bản Già
baobi	bao bì
anmiengtramieng	ăn miếng trả miếng
aiuu	ái ưu
baybien	bày biện
bausen	Bàu Sen
banggiadinhvevang	bảng gia đình vẻ vang
baichi	bài chỉ
baobien	bao biện
autrang	Âu trang
benhoi	bện hơi
baibinhbotran	bài binh bố trận
bosung	bổ sung
bagioi	ba giỏi
bo-noong	Bơ-noong
banmatchodatbanlungchotroi	bán mặt cho đất, bán lưng cho trời
bapngo	bắp ngô
an-ti-pi-rin	an-ti-pi-rin
a-men	a-men
andomnoidat	ăn đơm nói đặt
baila	bài lá
balua	Bà Lụa
baynhieu	bây nhiêu
anman	ăn mặn
anchungocha	ăn chung ở chạ
bienvan	biền văn
be-ta	bê-ta
an-bu-min	an-bu-min
an-ti-mon	an-ti-mon
bapbong	bấp bông
benvuot	bến vượt
a-vang-ta	a-văng-ta
batphan	bất phân
bonuoi	bố nuôi
banghiep	bá nghiệp
binhphuoc	Bình Phước
banhtaiheo	bánh tai heo
anhao	ảnh ảo
boitu	bồi tụ
bangtang	băng tang
binhkieu	Bình Kiều
annovacnang	ăn no vác nặng
baibung	Bãi Bùng
ancau	ăn câu
adrenalin	adrenalin
antheothuootheothi	ăn theo thuở, ở theo thì
bachabayme	ba cha bảy mẹ
bom	bom
badoca	badôca
andoi	ăn dõi
boicheo	bói chèo
bang-ron	băng-rôn
binhtridong	Bình Trị Đông
baotan	bạo tàn
baubinh	bàu bĩnh
bonggao	bông gạo
an	ăn
bienho	Biển Hồ
amhuong	âm hưởng
anlinh	An Lĩnh
benguoitoconmat	bé người to con mắt
atieng	A Tiêng
banquyen	bản quyền
benkia	bên kia
ancannoibay	ăn càn nói bậy
binhan	Bình ân
aptoi	áp tới
binhquyen	bình quyền
aynay	áy náy
baoto	bão tố
banchapuy	ban chấp uỷ
atgiap	ất giáp
baotonbaotang	bảo tồn bảo tàng
anchang	ăn chằng
bandam	bán dâm
a-len	a-len
bichdao	Bích Đào
ansongnuottuoi	ăn sống nuốt tươì
antiem	ăn tiệm
bienbachdong	Biển Bạch Đông
banhgoi	bánh gối
apatit	a pa tít
annhan	ân nhân
bongthamkhong	bóng thám không
bidieu	bí diệu
bongtai	bông tai
bi-ki-ni	bi-ki-ni
bangiamdoc	ban giám đốc
bachandoi	bắc hàn đới
aunien	ấu niên
banhat	ba nhất
balamongiao	Bà La Môn giáo
bentiengquenhoi	bén tiếng quen hơi
bannguyenam	bán nguyên âm
benhvuc	bênh vực
antoanlaodong	an toàn lao động
bauleodaybicungleo	bầu leo, dây bí cũng leo
bonchungquanh	bốn chung quanh
antoan	An Toàn
boiban	bồi bàn
anonhubatnuocday	ăn ở như bát nước đầy
aco	ắc ô
aitinh	ái tình
banhca-vat	bánh ca-vát
bontau	bôn tẩu
anphutan	An Phú Tân
ancomthuacanhcan	ăn cơm thừa canh cặn
bo-ne	bo-nê
battien	bất tiện
baybinhbotran	bày binh bố trận
annenlamra	ăn nên làm ra
baolam	Bảo Lâm
banxiet	bàn xiết
andut	ăn đút
bannuocbuonnoi	bán nước buôn nòi
ancap	ăn cắp
banhrang	bánh răng
binhhoaphuoc	Bình Hoà Phước
anva	ăn vã
baotai	bao tải
andautrabo	ăn đấu trả bồ
biumoi	bĩu môi
battuy	bạt tuỵ
bietlaychican	biết lấy chi cân
batthuan	bất thuận
binhba	Bình Ba
baimon	bái môn
anbeoanxen	ăn bẻo ăn xén
alahan	a la hán
ba-ri-e	ba-ri-e
bachthuthanhgia	bạch thủ thành gia
baica	bài ca
bienly	biện lý
bathuoc	Bá Thước
batchuyen	bắt chuyện
bonchai	bòn chài
aoi	ạ ơi
aoquan	áo quan
au	Au
boinghich	bội nghịch
bienngam	biển ngắm
bamgansoimau	bầm gan sôi máu
aomay-o	áo may-ô
aoki-mo-no	áo ki-mô-nô
bandao	bần đạo
boi	bói
baohoa	bão hoà
batbao	bát bảo
am-pun	am-pun
baxa	Ba Xa
anguy	a nguỳ
anxuyt	ăn xuýt
binhhunghoa	Bình Hưng Hoà
anba	An Bá
bonglai	bồng lai
bolieu	bỏ liều
ankiengnamcu	ăn kiêng nằm cữ
batkhaquy	bất khả quy
adidakinh	A Di Đà kinh
a-xe-ti-len	a-xê-ti-len
aomua	áo mưa
anhem	anh em
bantaytrang	bàn tay trắng
bacphuong	bắc phương
banvan	bản văn
anmung	ăn mừng
betha	bê tha
battuong	bất tường
bacruot	bác ruột
batchimchim	bắt chim chim
baohoc	bảo học
banthao	bản thảo
bangrungvuotsuoi	băng rừng vượt suối
battiet	bát tiết
a-di-daphat	A-di-đà phật
bebet	be bét
bachcau	bạch câu
biengioi	Biên Giới
baogia	báo giá
bothanduong	bổ thận dương
batte	bạt tê
bosapbongua	bổ sấp bổ ngửa
aodaidairong	áo dài đai rộng
bancunghoa	bần cùng hóa
bolebocang	bò lê bò càng
ancochungchoicodo	ăn có chừng, chơi có độ
batcau	bất câu
bangnhao	báng nhạo
ancapnhuranh	ăn cắp như ranh
auhoa	Âu hoá
bangtam	băng tấm
batthanhnhan	bất thành nhân
aychet	ấy chết
a-tua-do-ron	a-tua-đờ-rôn
boica	bói cá
acnghiep	ác nghiệp
biensac	biến sắc
bacdai	bác đại
bothuongvuongtoi	bỏ thương vương tội
baitru	bài trừ
badao	ba đào
bantien	bần tiện
baolon	bao lơn
anbuahomlobuamai	ăn bữa hôm, lo bữa mai
bangnguyen	băng nguyên
bienbao	biển báo
bienthien	biến thiên
anguinamnho	ăn gửi nằm nhờ
bingo	bí ngô
anche	ăn ché
bachsinh	bách sinh
bichhoa	Bích Hoà
bachua	bà chúa
bachdaugiailao	bạch đầu giai lão
beolan	béo lăn
bithu	bi thu
a-me-ri-xi	a-me-ri-xi
antuc	ăn tục
ancoditruocloinuocdisau	ăn cổ đi trước, lội nước đi sau
binhdanhocvu	bình dân học vụ
ba-za	ba-za
angoi	ăn gỏi
baybay	bây bẩy
aothaytu	áo thầy tu
bododau	bố đỡ đầu
anhtutuc	anh tử túc
amkhi	âm khí
amlich	âm lịch
bangquan	bàng quan
angcanqua	áng can qua
bay	bẫy
bapcay	bắp cày
acmieng	ác miệng
bacbancau	bắc bán cầu
batdau	bắt đầu
bahonchinvia	ba hồn chín vía
batnuingansong	bạt núi ngăn sông
bode	bờ đê
baba	bà ba
beotruongbeonut	béo trương béo nứt
binhtrieu	Bình Triều
botxay	bột xay
barau	Bà Rậu
battoan	bất toàn
aodang	ảo đăng
bolai	bộ lại
bobonhuthangiucua	bo bo như thần giữ của
bienphaptutu	biện pháp tu từ
anthaitrung	An Thái Trung
banhdakhoai	bánh đa khoai
bichi	bi chí
bahoathientuong	ba hoa thiên tướng
banhque	bánh quế
ankhongngoiroi	ăn không ngồi rồi
baoninh	Bảo Ninh
baodung	bao dung
amsutvoi	ấm sứt vòi
bathoi	bật hơi
amboi	âm bội
bomthu	bom thư
apthapnhietdoi	áp thấp nhiệt đới
aoxiem	áo xiêm
binhtrungdong	Bình Trung Đông
baove	bảo vệ
baithuoc	bài thuốc
batchachdangduoi	bắt chạch đằng đuôi
baothai	bào thai
binhthe	bình the
bietsu	biệt sử
bobaichangbangphaithi	bơ bải chẳng bằng phải thì
binhlam	Bình Lâm
andutlot	ăn đút lót
angiai	ăn giải
bonnuoidong	bón nuôi đòng
bayla	bay là
baivong	bại vong
bakhan	Ba Khan
boc-can	bốc-can
bai	bãi
antao	ăn tảo
anlong	An Long
bansoan	bàn soạn
bongnhung	bỗng nhưng
bandoanh	bản doanh
binhthanh	bình thanh
boisochungnhonhat	bội số chung nhỏ nhất
base	base
bienuy	biên uỷ
axing	A Xing
bienche	biên chế
boxulitrungtam	bộ xử lí trung tâm
aokhongcadakhongmau	ao không cá, đá không màu
bekhactrieu	Bế Khắc Triệu
anto	ăn to
boxa	bỏ xa
botaybochan	bó tay bó chân
bangchianhbangem	bằng chị (anh) bằng em
boxoai	bổ xoài
baixuat	bài xuất
aoho	ao hồ
baruou	bã rượu
boikhoan	bồi khoản
binhphuong	bình phương
anthuong	An Thương
bietung	biệt ứng
ba-ren	ba-ren
baucot	bầu cột
benhbien	bệnh biến
biencanh	biên cảnh
authe	ấu thể
biendong	biến động
ba-long	ba-lông
bangquo	bâng quơ
baoban	bảo ban
aithuy	ái thuỷ
baothang	Bảo Thắng
bachlinh	bách linh
aobaotu	áo bào tử
aicatroncho	ai cắt rốn cho
antan	An Tân
aogio	áo gió
bangcau	băng cầu
bolebola	bò lê bò la
a-lehap	a-lê hấp
autho	ấu thơ
afghani	afghani
baotoan	bảo toàn
beotam	bèo tấm
amoai	ấm oái
bamuoisaucainonnuong	ba mươi sáu cái nõn nường
biphanvoivoi	bì phấn với vôi
ac-cooc-de-ong	ác-coóc-đê-ông
baixai	bái xái
bieudongtinh	biểu đồng tình
ba-do-ca	ba-dô-ca
betititi	bé tỉ tì ti
bacondoi	bắc ôn đới
antreo	án treo
a-la	A-la
bangnay	bằng nay
anlongolo	ăn lông ở lỗ
arooi	a Rooi
bieuxen	biếu xén
anquanhoketrongcay	ăn quả nhớ kẻ trồng cây
bato	Ba Tơ
ancomchuamuatoingay	ăn cơm chúa, múa tối ngày
bieuthi	biểu thị
bonglau	bông lau
bahoathiendia	ba hoa thiên địa
anphu	An Phú
bexerato	bé xé ra to
bin-dinh	bin-đinh
banmuong	bản mường
benrexanhcay	bén rễ xanh cây
aican	ái căn
bongsu	bông sứ
aoxanh	áo xanh ***
boichi	bội chi
banbay	bạn bầy
angiang	An Giang
aodon	áo đơn
anlien	ăn liền
aa	ă,Ă
aodoivai	áo đổi vai
bavong	Ba Vòng
baonang	bào nang
baoha	Bảo Hà
anmotannhat	ăn mót ăn nhặt
benco	bên có
beno-to	bến ô-tô
benhdai	bệnh dại
anmay	ăn mày
baychu	bấy chừ
baoduong	bảo dưỡng
baulam	Bàu Lâm
bongcauquacuaso	bóng câu qua cửa sổ
anthanh	An Thạnh
baobom	báo bờm
bennuoc	bến nước
ban-cong	ban-công
ankhanh	An Khánh
acidacetic	acid acetic
bichthuy	bích thủy
baychay	bây chầy
aocap	áo cặp
banthan	bán thân
anbam	ăn bẫm
batcongdaithien	bất cộng đái thiên
antrangmieng	ăn tráng miệng
bayhap	Bảy Háp
annghia	An Nghĩa
binhchung	binh chủng
baymau	bay màu
baimieng	bai miệng
anmuc	ăn mực
banggia	Bằng Giã
baitrung	bài trung
anhiep	ăn hiếp
batcotroicot	bắt cô trói cột
binhhoa	Bình Hoà
bienlanggioem	biển lặng gió êm
boque	bọ que
boinghieng	bơi nghiêng
benduyen	bén duyên
bebet	bê bết
aobao	áo bào
bailiet	bại liệt
binhkien	Bình Kiến
boncoi	bốn cõi
baitrieucan	bãi triều cạn
boongboong	boong boong
baudat	bầu đất
becgie	béc giê
baohao	bào hao
badaybaytoa	ba dãy bảy toà
baphuoc	bà phước
anhvu	anh vũ
anmy	An Mỹ
betong	bêtông
a-vang-xe	a-văng-xê
boitinh	bội tình
amcong	âm công
amchua	ám chúa
aodaikhandong	áo dài khăn đóng
auhoc	ấu học
biengioi	biên giới
bachlongvi	Bạch Long Vĩ
bahotsuc	ba hột sức
bienthe	biến thể
binhsai	bình sai
annoi	An Nội
anxa	ân xá
be-tongcotthep	bê-tông cốt thép
bocha	bỏ cha
bantandinh	Bàn Tân Định
amvuc	âm vực
batcuoi	bật cười
bacnuoc	bậc nước
aohoa	ảo hóa
amdoan	âm đoạn
babe	Ba Bể
ami	âm ỉ
borao	bờ rào
amti	âm ti
antuchuong	an tức hương
baodanh	báo danh
aouoc	ao ước
andinh	An Định
avao	A Vao
boixuat	bội xuất
bedai	bé dại
ando	ăn dở
bonphan	bón phân
amchoi	ẩm chồi
bosau	bộ sậu
banglang	Bằng Lang
biahop	bia hộp
baxoinhoimotcho	ba xôi nhồi một chõ
bom-bay	bôm-bay
baibien	bãi biển
a-di-xon	A-đi-xơn
bihoan	bi hoan
batrang	Ba Trang
bophaubopco	bóp hầu bóp cổ
bacden	bạc đen
bachdiep	bách diệp
binhtanguongvo	bình tan gương vỡ
bohung	bọ hung
bienphap	biện pháp
ansung	ân sủng
aoxogau	áo xổ gấu
aococ	áo cộc
binhyenvosu	bình yên vô sự
bonmuoi	bốn mươi
annotammat	ăn no tắm mát
bo	bô
benhai	Bến Hải
baovethucvat	bảo vệ thực vật
anlactay	An Lạc Tây
anhlinh	anh linh
ato	ất ơ
bittattay	bít tất tay
anchaodabat	ăn cháo đá bát
anvu	An Vũ
bachqua	bạch quả
bandaugia	bán đấu giá
acngon	ác ngôn
bopmui	bóp mũi
aoso	áo sô
bitmieng	bịt miệng
bequantoacang	bế quan toả cảng
a-mam	a-mam
banhau	bán hầu
baucua	bậu cửa
a-xit	a-xít
baychay	bấy chầy
bongdau	bỗng đâu
an-go-rit	an-gô-rít
a-ni-ong	a-ni-ông
anraynguamieng	ăn ráy ngứa miệng
baoanhvien	bảo anh viện
balo	bá lơ
batphu	bắt phu
bihaikich	bi hài kịch
banhoi	bắn hơi
battam	bặt tăm
behe	be he
bamatmotloi	ba mặt một lời
ancochodoconoi	ăn có chỗ, đỗ có nơi
ba-ri	ba-ri
baytui	bầy tui
bangxang	băng xăng
bolo	bỏ lơ
amoe	ấm oé
baren	baren
binhthuonghoa	bình thường hoá
bat-te	bắt-tê
battinnhiem	bất tín nhiệm
aiki	ái kỉ
boxuyet	bổ xuyết
baoke	bảo kê
batluan	bất luận
acmotcaila	ác (một) cái là
baocaovien	báo cáo viên
bachdauquan	bạch đầu quân
batnhan	bất nhân
boi	bôi
batngansanda	bạt ngàn san dã
bienbiet	biện biệt
bong-xoa	bông-xoa
anchungnoivung	ăn chùng nói vụng
bophongnanhau	bóp họng nặn hầu
baivi	bài vị
banquanh	bàn quanh
aptoi	ập tới
beonhubosutcap	béo như bồ sứt cạp
banhtom	bánh tôm
benaocung	bề nào cũng
ansaungapcanh	ăn sâu ngập cánh
beotay	bèo tây
bakhong	ba không
bannhat	ban nhật
bangtai	băng tải
banmatchodat	bán mặt cho đất
anvungchongno	ăn vụng chóng no
bit-tong	bít-tông
aokhach	áo khách
bathang	ba tháng
batlithan	bất li thân
batsinhbatdiet	bất sinh bất diệt
bachimbaynoi	ba chìm bảy nổi
bochan	bó chân
bothau	bỏ thầu
bietso	biệt số
aiquan	ải quan
anhao	An Hảo
asen	asen
bacdongcan	bắc đồng cân
batchuonchuon	bắt chuồn chuồn
anchayniemphat	ăn chay niệm Phật
bauban	bầu bạn
badau	bã đậu
baoboi	bảo bối
bachdau	bách dầu
baydanthetu	bầy đàn thê tử
bolivar	bolivar
anvi	An Vĩ
bongnguyetxemanh	bóng nguyệt xế mành
banhdau	bánh đậu
batgio	bắt gió
balong	balông
bienthan	biện thần
batronbatrao	ba trợn ba trạo
amohoite	ấm ớ hội tề
au	ấu
anguyen	á nguyên
banhong	ban hồng
anban	an bần
bocbanhchangduocdinhtay	bóc bánh chẳng được dính tay
banvichunghia	bản vị chủ nghĩa
bolidau	bộ li dầu
bienchungphap	biện chứng pháp
banbiu	bấn bíu
ammao	âm mao
binhhoahung	Bình Hoà Hưng
ba-truiba-tui	ba-trui, ba-tui
batdiet	bất diệt
ancuoc	ăn cuộc
ben	bên
banhutro	bánh ú tro
bangtiep	bàng tiếp
baquexola	ba que xỏ lá
anvanganbacgi	ăn vàng ăn bạc gì
amnhai	âm nhai
bec-gie	béc-giê
batrui	batrui
anlua	ăn lửa
babichinquaimuoihaiconmat	ba bị chín quai mười hai con mắt
bongduong	bóng dương
banghuuchigiao	bằng hữu chi giao
binhtrungtay	Bình Trung Tây
banthiu	bẩn thỉu
annhon	An Nhơn
bachhau	bạch hầu
bachtueviki	bách tuế vi kì
anoan	ân oán
a-lec	a-léc
anhienolanh	ăn hiền ở lành
bangiang	Bản Giang
bot-can	bốt-can
aceton	aceton
bomay	bộ máy
andungone	ăn dưng ở nể
binhluong	Bình Lương
biadabangvang	bia đá bảng vàng
andaunamnho	ăn đậu, nằm nhờ
bonglong	bông lông
bannhanvenmay	bắn nhạn ven mây
binhtam	bình tâm
bolao	bô lão
boanmathidabohay	bò ăn mạ thì dạ bò hay
baochuavien	bào chữa viên
annhutranglamnhulao	ăn như tráng, làm như lão
bebao	bẻ bão
banhquanthung	bánh quấn thừng
aomang-to	áo măng-tô
anhoangphahoai	ăn hoang phá hoại
anthach	An Thạch
a-xitbeo	a-xít béo
anhhungcaithe	anh hùng cái thế
binhnhat	binh nhất
banphanbuonson	bán phấn buôn son
batrieu	Bà Triệu
binhnguyen	bình nguyên
bangmau	bảng màu
aonau	áo nậu
bonglon	bông lơn
a-xitsun-fu-ric	a-xít sun-fu-ric
bachi	ba chỉ
anlan	ăn lấn
baolac	Bảo Lạc
baotieu	bao tiêu
